,text
0,skillsdata science analyticspythonpostgresqllanguagesenglishmalayalamcertificationsmachine learning andrew data science toolbox foundationintroduction data scienceintroduction git data investmentservices retail clientsgem aravindakshan nairhiring graphdb devops intersection product year monthshead productsdecember present product managerdecember november managermarch december malaysiaebizubusiness intelligence analystseptember february yearstechnical business analyst standard chartered global september year malaysiaconsultant project delivery business december year page software engineer product may year indiasoftware engineer traineeoctober march indiaeducationbirla institute technology pilanimaster technology data science engineeringworldquant universitymaster science financial engineeringindian institute calcuttaexecutive program young business administration generaluniversity calicutbachelor technology electricals electronicsengineering page
1,skillspython learninglanguagesurdu certified programming certified machine learninginternshipprogramming c certificationpython bootcampmicrosoft technogy associate learning internpublicationsblogbreast cancer predictionsyeda daraqshanmta machine learninghyderabadsummaryi computer science engineering student computerenthusiast urge continuously learn progress idea using software solve real world problem instills asense excitement thrill interested python programming machine experiencecomputer society year monthassociate events headapril present year indiatechnical teamaugust april indiamicrosoft student societycreative team september present indiaverzeomachine learning internjanuary february jah college engineering technologybachelor engineering computer science junior college page intermediate educational academy iea page
2,skillspmpprogram managementproduct managementlanguagesenglish lumis business excellence leadership awardbest educational website feb business leaderspublicationswant study step entrepreneurial way motivate employees atworkdoes online education daily challenge everyentrepreneurkrishna kumarceo simplilearnbengalurusummaryinformation technology entrepreneur track record ofsuccessfully building new business great place currently working global certificationpreparation simplilearn largest professional certificationtraining company full time team presenceacross krishna coo whichgot acquired public listed org informatics infeb time techunified world classproducts area mobile voice banking telecomself techunified also customer base included someof fortune banks team program web present year francisco bay area indiasimplilearn one leading provider online training data cloud software many emerging based san california simplilearn hashelped million professional company across countriesget acquire upskill trainingcourses designed updated industry page blended learning approach combine live virtual applied learning teaching global training organization haverecognized simplilearn official provider certification company named influential education brand theworld edtechchairmanmay present year indiacurrently associated industry body iamai build ecosystem coooctober april year delivery products engineerseptember september year requirement institute electronics communication institute kanpurmtech master micro electronics page
3,structuresweb developmentlanguagesbengali web developer position icse hindi creativewriting competition regionalinter class spell well competitioninter class spell beebest englishsecond biswasincoming swe intern microsoft former software engineer internat microsoftsouth west delhiexperiencedelhi technological universityweb application university student internship programaugust present year present engineer internmay july summer codeopen source developerfebruary may technological universitybachelor technology computer engineering senior secondary school indiacbse class convent high schoolicse board page
4,skillsmicrosoft officeleadershipresearchrahul reddy akkenapallysoftware engineer capgeminihyderabadexperiencecapgeminisoftware engineerjune present year tamil indiaeducationanurag group institutionsbachelor electronics communicationengineering page
5,skillsdata sciencemachine learningdata analysislanguagesenglish certificatencc certificatepython data science andmachine learning boot camppython courseprobability statistics forbusiness data team player awardrambabu gorleactively looking job data self motivated quick learning always passion towork data learning domain want visualization methodical skill help company toachieve business goal vision designtech services engineerjuly present year indiaeducationrajiv gandhi university knowledge technology gandhi university knowledge murapakassc page
6,skillsc base management systemmanasa goudbachelor technology btech malla reddy college ofengineering currently pursuing engineering final done projectsusing different platform various hackathon isuccessfully accomplished course like data science cloudcomputing coursera merit educationmalla reddy college engineering womenbachelor technology information technology page
7,data analysis andhypothesis testingmicrosoft technical associate learningkharagpur winter code completed kwocgot selected biggeststudent hackathon hack thenorthdata science hackathon placemicrosoft student associatepublicationsreal time predictions adversedigressions critical noisy industrialprocesses using lstmsrahul widhya helping student get employmentopportunities helping company hire quality talent speaker student pursuing major computerscience mahindra ecole coming solutionsto problem pique interest keep working day inand day come plethora experience worked multiple startup since beginning ofengineering growth hacker data also goal make change education systemby allowing student learn differently adopting widhya focus ihandle data outreach marketing teamsat primarily technology person massive appetiteto learn work technological core competency following backend api data artificial data natural language like call data leader take careof data science team ensure whole pipeline managedand implemented smoothly gathering data toderiving insight building statistical predictive model andfinally deploying handle worked various project vertical ilove performing research large focus work selected publicationsand presentation various page vocal supporter software actively contribute many organization like gatsbyjsand achievement include winning completingmany open source challenge organized also one winnersof largest student smart india strongly believe giving back community love helpingthe community using beenrecognized work awarded award girlscript india karmaveer chakra award instituted united ceonovember present year handling data strategy marketing team introduced key widhya beta allows widhya tofocus creating open source focused ona crowd sourcing strategy develop quality missions shorter generated key report assist u approaching student potentialpartner company metric regarding effectiveness andperformance far helped convince onboard company raised inr revenue first operational drove marketing strategy resulted sale inr span reached active user platform private labsdata science internjune august india page ceomarch august year indiafreeflo start currently focus creating website scratchand selling basic website apart help engineeringstudents engineering project related basic coding datascience machine soon expanding field scientific industrial researchdata science internmay june working project spread awareness mental health khurana central drug research institute initial part project role validate result builda robust dataset ongoing research started collecting data corresponding various politician schoolsin uttar pradesh slowly inching towards collecting data school forevery country south data collected scraping various website running inparallel achieve result faster eat monthsassistant vice president national marketingfebruary may indiaworking towards strategy grow network eat news around responsible increase eat brand responsible create partnership various medium housesmanager national expansionsjanuary february india page helping eat news gain greater reach around making morepeople aware emn getting board young people helping selection école centraleundergraduate researcherseptember may amitava das understanding process ofradicalization various extremist group around world socialmedia platform predicting whether user vulnerable thedataset built scratch primary identified andmanually annotated see lethal influential targetshave used get data consider first secondhop network predict user vulnerablility depending number networkdynamics learning internmay june worked building learning various machine learning took couple datasets used multiple machine learning algorithm tounderstand worked sms email spam web development teamjuly may indiahelping tedx team create website upcoming edition previous edition usedwordpress upcoming hackernovember may india page main role ensure people get know brand andalso suggest company way create brand study various platform find would help benefit care sale angle using various sale universitymaster science financial engineering école centralebachelor technology computer science chaitanya junior mpc page
8,skillsiphone tool identifyingpeptide periodic repeatskrishna kiran kasturicofounder ceo apxorandhra pradeshsummarytechnologist year experience entirely mobilebased work including cross robust application framework apxor ceojanuary present year indiabuilding apxor built solve product problem reduce improve build habit forming product intelligencethat power apps product led technologies incdeveloperaugust january complete mobile commerce platform enables instant mobile tablet acquired bysnapdeal architected native mcommerce platform labslead engineerjuly august year mobile application development platform provider enablingcompanies deliver innovative mobile kony powered page biggest enterprise mobile strategy got acquired product team built kony responsible design andimplementation ios application point technologiesdeveloperjuly july year indiai one early member kpt building adaptxt innovativeinput solution support powering many global oems present device overthe core member behind adaptxt text prediction engine later ported nativelibrary built custom library android ndk support implemented intelligent ios keyboard top july year open mobile core technologyprovider limo core integration lateracquired motorola worked mobile building solution application drm forazingo operating system adhering oma institute information technologymaster technology bi nehru technological universitybachelor technology computer science page
9,skillseducationeducational leadershiptatikonda themock pvt pvt present year indiaeducationkrishnaveni talent school technology computer science engineering page
